scenario,medical,synthetic,qualification,biological_population,synthetic_population,recognized_person_population,median_biological_age,age_65_plus_share,age_80_plus_share,age_100_plus_share,age_120_plus_share,age_150_plus_share,biological_labor,synthetic_labor,machine_task_capacity,total_effective_labor,value_added_80,maximum_country_synthetic_labor_share,maximum_country_automation_share,max_gate_residual
MED_CONSERVATIVE__SYNTH_LOW,MED_CONSERVATIVE,SYNTH_LOW,PASS,6991125306.099191,3900941.5912215826,6995026247.6904125,47.41847821023892,0.30618940336191497,0.15790698129202652,0.030400598196390072,0.002104011676615238,3.9487277684234625e-05,1448652898.4875078,4388559.29012428,50353805.462142505,1503395263.2397745,238981874725677.16,0.008730148587444002,0.06472863225555792,6.720618082544999e-16
MED_CONSERVATIVE__SYNTH_CENTRAL,MED_CONSERVATIVE,SYNTH_CENTRAL,PASS,6991125306.099191,9458550.925327638,7000583857.024518,47.41847821023892,0.30618940336191497,0.15790698129202652,0.030400598196390072,0.002104011676615238,3.9487277684234625e-05,1448652898.4875078,10640869.790993594,52110115.98255015,1511403884.2610514,240466666815066.88,0.020861499943941184,0.06644190248926045,7.965403127033602e-16
MED_CONSERVATIVE__SYNTH_HIGH,MED_CONSERVATIVE,SYNTH_HIGH,PASS,6991125306.099191,23558494.283028085,7014683800.382218,47.41847821023892,0.30618940336191497,0.15790698129202652,0.030400598196390072,0.002104011676615238,3.9487277684234625e-05,1448652898.4875078,26503306.068406593,56570640.81739688,1531726845.3733113,244271584548649.44,0.05011936234368638,0.07067155506542863,8.516026839511884e-16
MED_CENTRAL__SYNTH_LOW,MED_CENTRAL,SYNTH_LOW,PASS,7163281708.265873,3991438.1276698983,7167273146.393543,48.427231893048,0.32036473411806027,0.17289034420566401,0.03914834434710764,0.003841922452851877,0.00012745908742129667,1455527766.770138,4490367.893628635,50797084.154225856,1510815218.8179924,239929198607203.3,0.008879866766725218,0.06496628741203321,8.317661047382371e-16
MED_CENTRAL__SYNTH_CENTRAL,MED_CENTRAL,SYNTH_CENTRAL,PASS,7163281708.265873,9672505.78986048,7172954214.055734,48.427231893048,0.32036473411806027,0.17289034420566401,0.03914834434710764,0.003841922452851877,0.00012745908742129667,1455527766.770138,10881569.013593039,52627339.05102448,1519036674.8347554,241453886085432.44,0.021201342606524017,0.06674525061472822,7.276997486740634e-16
MED_CENTRAL__SYNTH_HIGH,MED_CENTRAL,SYNTH_HIGH,PASS,7163281708.265873,24073034.84663626,7187354743.112509,48.427231893048,0.32036473411806027,0.17289034420566401,0.03914834434710764,0.003841922452851877,0.00012745908742129667,1455527766.770138,27082164.202465795,57257657.366793424,1539867588.3393972,245356286269624.2,0.050865176441706045,0.07111386631439505,8.554258465889744e-16
MED_HIGH__SYNTH_LOW,MED_HIGH,SYNTH_LOW,PASS,7464934144.9877615,4143349.8561352557,7469077494.843897,50.236228461406526,0.3446715425604311,0.19942685287064402,0.05716406368401339,0.009047590146452796,0.0006270837213639072,1464770180.395334,4661268.588152163,51435179.29002376,1520866628.27351,241221079159131.16,0.009135739380876083,0.06532846766958375,6.60669886343347e-16
MED_HIGH__SYNTH_CENTRAL,MED_HIGH,SYNTH_CENTRAL,PASS,7464934144.9877615,10032106.598302195,7474966251.586063,50.236228461406526,0.3446715425604311,0.19942685287064402,0.05716406368401339,0.009047590146452796,0.0006270837213639072,1464770180.395334,11286119.923089968,53346800.669451244,1529403100.9878752,242805407294054.88,0.021784456980783552,0.06716759669273575,7.133762093117755e-16
MED_HIGH__SYNTH_HIGH,MED_HIGH,SYNTH_HIGH,PASS,7464934144.9877615,24940167.987885535,7489874312.975647,50.236228461406526,0.3446715425604311,0.19942685287064402,0.05716406368401339,0.009047590146452796,0.0006270837213639072,1464770180.395334,28057688.98637123,58183030.31913014,1551010899.7008352,246857428620008.5,0.05215453017578665,0.07168001135514514,9.303208713961098e-16
